Player,Pos,Age,Team,G,MP,PER,OWS,DWS,WS,BPM,VORP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,Year,Allstar,Years_In_NBA,PR
Armen Gilliam,PF,24,PHO,74,2120,15.7,2.3,2.7,5.1,-2.1,-0.1,6.3,12.6,0.0,0.0,6.3,12.6,3.2,4.4,2.2,5.1,7.3,0.7,0.7,0.4,1989,0,2,11.5073453
Avery Johnson,PG,23,SEA,43,291,10.8,0.0,0.3,0.3,-3.9,-0.1,0.7,1.9,0.0,0.2,0.7,1.7,0.2,0.4,0.3,0.3,0.6,1.7,0.5,0.1,1989,0,1,-17.063937
Barry Sumpter,PF,23,LAC,1,1,-30.2,0.0,0.0,0.0,-43.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1989,0,1,-36.929992
Bart Kofoed,SG,24,UTA,19,176,3.7,-0.3,0.2,0.0,-5.0,-0.1,0.6,1.7,0.0,0.1,0.6,1.7,0.3,0.6,0.2,0.4,0.6,1.1,0.5,0.0,1989,0,2,-20.329353
Ben Gillery,C,23,SAC,24,84,5.0,-0.1,0.1,0.0,-7.9,-0.1,0.3,0.8,0.0,0.0,0.3,0.8,0.5,1.0,0.3,0.7,1.0,0.1,0.1,0.2,1989,0,1,-21.278207000000002
Bill Jones,PF,22,NJN,37,307,13.9,0.3,0.3,0.6,-1.3,0.1,1.4,2.8,0.0,0.0,1.4,2.7,0.8,1.2,0.5,0.7,1.3,0.5,0.5,0.2,1989,0,1,-14.160854
Brad Lohaus,PF,24,TOT,77,1214,11.6,-0.3,1.1,0.9,-4.0,-0.6,2.7,6.3,0.0,0.1,2.7,6.2,1.1,1.3,1.1,2.2,3.3,0.9,0.4,0.7,1989,0,2,-6.5537746
Brian Rowsom,PF,23,CHH,34,517,15.7,1.2,0.3,1.5,-0.8,0.2,2.4,4.8,0.0,0.0,2.3,4.7,1.9,2.4,1.6,2.4,4.0,0.7,0.3,0.4,1989,0,2,-6.9186997
Brian Shaw,SG,22,BOS,82,2301,12.2,0.5,1.7,2.2,-0.4,0.9,3.6,8.4,0.0,0.2,3.6,8.2,1.3,1.6,1.5,3.1,4.6,5.8,1.0,0.3,1989,0,1,3.44666662
Charles Davis,SF,30,CHI,49,545,10.3,0.1,0.4,0.5,-4.6,-0.4,1.7,3.9,0.1,0.3,1.6,3.6,0.4,0.5,1.0,1.4,2.3,0.6,0.2,0.1,1989,0,2,-13.662410999999999
Charles Shackleford,C,22,NJN,60,484,13.9,0.2,0.6,0.8,-3.0,-0.1,1.4,2.8,0.0,0.0,1.4,2.8,0.4,0.7,0.8,1.7,2.6,0.4,0.3,0.3,1989,0,1,-12.584951
Charles Smith,PF,23,LAC,71,2161,15.6,2.4,1.6,4.0,-1.2,0.4,6.1,12.4,0.0,0.0,6.1,12.3,4.0,5.5,2.4,4.1,6.5,1.5,1.0,1.3,1989,0,1,13.337973499999999
Chris Dudley,C,23,CLE,61,544,8.7,-0.7,0.8,0.1,-5.6,-0.5,1.2,2.8,0.0,0.0,1.2,2.7,0.6,1.8,1.2,1.4,2.6,0.3,0.1,0.4,1989,0,2,-13.873969
Chris Morris,SF,23,NJN,76,2096,15.0,0.8,2.0,2.8,0.7,1.4,5.4,11.9,0.8,2.3,4.6,9.6,2.4,3.3,2.5,2.8,5.2,1.6,1.3,0.8,1989,0,1,13.536565
